date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#loc+market+code,#geo+lat,#geo+lon,#item+type,#item+name,#item+code,#item+unit,#item+price+flag,#item+price+type,#currency+code,#value,#value+usd
1994-01-15,Delhi,Delhi,Delhi,934,28.67,77.22,cereals and tubers,Rice,52,KG,actual,Retail,INR,8,0.26
1994-01-15,Delhi,Delhi,Delhi,934,28.67,77.22,cereals and tubers,Wheat,84,KG,actual,Retail,INR,5,0.16
1994-01-15,Delhi,Delhi,Delhi,934,28.67,77.22,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13.5,0.43
1994-01-15,Delhi,Delhi,Delhi,934,28.67,77.22,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,31,0.99
1994-01-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,cereals and tubers,Rice,52,KG,actual,Retail,INR,6.8,0.22
1994-01-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,30,0.96
1994-01-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13.75,0.44
1994-01-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,36,1.15
1994-01-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,cereals and tubers,Rice,52,KG,actual,Retail,INR,6.5,0.21
1994-01-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,cereals and tubers,Wheat,84,KG,actual,Retail,INR,7,0.22
1994-01-15,Karnataka,Bangalore Urban,Bengaluru,926,12.96,77.58,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13.2,0.42
1994-01-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,cereals and tubers,Rice,52,KG,actual,Retail,INR,6.25,0.2
1994-01-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,cereals and tubers,Wheat,84,KG,actual,Retail,INR,4.5,0.14
1994-01-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,cereals and tubers,Rice,52,KG,actual,Retail,INR,7.5,0.24
1994-01-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13.8,0.44
1994-01-15,Orissa,Khordha,Bhubaneshwar,929,20.23,85.83,cereals and tubers,Rice,52,KG,actual,Retail,INR,5,0.16
1994-01-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,cereals and tubers,Rice,52,KG,actual,Retail,INR,6.2,0.2
1994-01-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13,0.41
1994-01-15,Telangana,Hyderabad,Hyderabad,941,17.38,78.47,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,37,1.18
1994-01-15,Tripura,West Tripura,Agartala,921,23.84,91.28,miscellaneous food,Sugar,97,KG,actual,Retail,INR,16,0.51
1994-01-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,cereals and tubers,Rice,52,KG,actual,Retail,INR,6.75,0.22
1994-01-15,West Bengal,Kolkata,Kolkata,950,22.57,88.37,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,31,0.99
1994-02-15,Delhi,Delhi,Delhi,934,28.67,77.22,cereals and tubers,Rice,52,KG,actual,Retail,INR,8,0.26
1994-02-15,Delhi,Delhi,Delhi,934,28.67,77.22,cereals and tubers,Wheat,84,KG,actual,Retail,INR,5.2,0.17
1994-02-15,Delhi,Delhi,Delhi,934,28.67,77.22,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13.5,0.43
1994-02-15,Delhi,Delhi,Delhi,934,28.67,77.22,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,30,0.96
1994-02-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,cereals and tubers,Rice,52,KG,actual,Retail,INR,6.9,0.22
1994-02-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,cereals and tubers,Wheat,84,KG,actual,Retail,INR,6,0.19
1994-02-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,miscellaneous food,Sugar,97,KG,actual,Retail,INR,13.5,0.43
1994-02-15,Gujarat,Ahmadabad,Ahmedabad,923,23.03,72.62,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,39,1.24
1994-02-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,cereals and tubers,Rice,52,KG,actual,Retail,INR,8.75,0.28
1994-02-15,Himachal Pradesh,Shimla,Shimla,963,31.1,77.17,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,39,1.24
1994-02-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,cereals and tubers,Rice,52,KG,actual,Retail,INR,6.25,0.2
1994-02-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,cereals and tubers,Wheat,84,KG,actual,Retail,INR,4.6,0.15
1994-02-15,Madhya Pradesh,Bhopal,Bhopal,928,23.27,77.4,oil and fats,Oil (mustard),228,KG,actual,Retail,INR,31,0.99
1994-02-15,Maharashtra,Mumbai city,Mumbai,955,18.98,72.83,cereals and tubers,Rice,52,KG,actual,Retail,INR,8,0.26
